layer,pc1,pc2,dialect,correct_final
0,0.02629012439519818,0.0741255138799916,hin_Deva,0
0,0.027319600416441176,0.07577762945558043,hin_Deva,1
0,0.027026873144156707,0.08394276265668997,hin_Deva,1
0,0.03552608396024458,0.0895135514015972,hin_Deva,1
0,0.020277767963216793,0.07221491693556839,hin_Deva,1
0,0.029353009283313827,0.08373125253668778,hin_Deva,0
0,0.02571456506742817,0.07907157268368856,hin_Deva,0
0,0.023571300986777583,0.08223678779802118,hin_Deva,1
0,0.022975434798629644,0.07660499881268959,hin_Deva,1
0,0.019590390412232817,0.06504560155435132,hin_Deva,0
0,0.028931527565848367,0.08505676403229973,hin_Deva,1
0,0.021739043102591057,0.07205739978319169,hin_Deva,0
0,0.01979736851715173,0.06898006422922846,hin_Deva,1
0,0.01763996246758511,0.0674471695155678,hin_Deva,1
0,0.02346811584481989,0.07522928689710182,hin_Deva,0
0,0.023049925270824917,0.07164259704737694,hin_Deva,1
0,0.021554909346682714,0.06940195827989687,hin_Deva,0
0,0.023430899460829966,0.07924791083165547,hin_Deva,0
0,0.022767637225385,0.0788221857181659,hin_Deva,1
0,0.0283247370938057,0.08331971294351492,hin_Deva,0
0,0.016059496438928546,0.06231667991783044,hin_Deva,0
0,0.031168021282020276,0.08482164360780868,hin_Deva,0
0,0.028025517759740094,0.07932536319816942,hin_Deva,0
0,0.019055298365785813,0.07045328293020074,hin_Deva,1
0,0.03393842858488878,0.09899969336639787,hin_Deva,0
0,0.01316877601885574,0.05849980298499614,hin_Deva,1
0,0.026654205184602084,0.07788730587503004,hin_Deva,1
0,0.018615694479911796,0.06273398913583184,hin_Deva,0
0,0.031601204609894115,0.08821382096065229,hin_Deva,0
0,0.023476015048148804,0.07662446031260713,hin_Deva,1
0,0.03458881742245914,0.09302807427540753,hin_Deva,0
0,0.02416337003809208,0.07921999076919799,hin_Deva,0
0,0.02933086729779427,0.0884350336122681,hin_Deva,0
0,0.025625685905172304,0.07729970968522043,hin_Deva,0
0,0.024347089120071403,0.07874346702508353,hin_Deva,0
0,0.015957160845372693,0.06453116991742369,hin_Deva,1
0,0.02412121057951107,0.07921630148502536,hin_Deva,1
0,0.02934264689940913,0.09026715653849594,hin_Deva,1
0,0.024729650525763883,0.07830075125163594,hin_Deva,1
0,0.028956272351017304,0.08624487796986191,hin_Deva,0
0,0.015632687201353003,0.06780229565808227,hin_Deva,1
0,0.028755794053791774,0.08391010729762514,hin_Deva,0
0,0.021984786151619213,0.0802796617345253,hin_Deva,0
0,0.026977239650584434,0.07982424075406361,hin_Deva,1
0,0.028777421094323963,0.08441305857714793,hin_Deva,1
0,0.027738922656115054,0.08202085882565122,hin_Deva,0
0,0.021750159030655497,0.07587293263262472,hin_Deva,1
0,0.021573866022535852,0.06937231977955875,hin_Deva,1
0,0.019241012255646856,0.06318666185420443,hin_Deva,1
0,0.02498092409583488,0.08194492464031963,hin_Deva,1
0,0.026596749934175132,0.07872822404169875,hin_Deva,0
0,0.024080123275603254,0.07843125030288682,hin_Deva,1
0,0.028421417840881123,0.09101657447565767,hin_Deva,0
0,0.020524063194391835,0.07294524975622958,hin_Deva,0
0,0.017974061462457853,0.06290501684340721,hin_Deva,0
0,0.02884845420130413,0.0848239458688175,hin_Deva,0
0,0.02592648728166058,0.08290322208603175,hin_Deva,1
0,0.019616339043104333,0.06993843313534685,hin_Deva,1
0,0.03822798307906747,0.09744317623476322,hin_Deva,1
0,0.030597716491822833,0.08673657328962753,hin_Deva,0
0,0.022475482099706772,0.07222901189763649,hin_Deva,1
0,0.03138297314498374,0.08650266334295323,hin_Deva,0
0,0.021640956818393245,0.07776027944045244,hin_Deva,1
0,0.016778967755772218,0.06362197176612351,hin_Deva,0
0,0.02919744361761424,0.08501299383020602,hin_Deva,1
0,0.026704813587965424,0.07940830834184413,hin_Deva,1
0,0.020981797351483783,0.07574166585520883,hin_Deva,0
0,0.020260327005764453,0.0752743197549109,hin_Deva,0
0,-0.02170986801344333,-0.00798686587412781,urd_Latn,0
0,-0.022865348804280955,-0.008033233860104303,urd_Latn,0
0,-0.021845642262405936,-0.0068709021128447985,urd_Latn,0
0,-0.020425559474478532,-0.008110359470619543,urd_Latn,1
0,-0.022588317527482974,-0.00919046497471711,urd_Latn,1
0,-0.02220237264158574,-0.008491328507298786,urd_Latn,0
0,-0.021122622253162242,-0.00871060985120648,urd_Latn,1
0,-0.021778035400209356,-0.008686609032498375,urd_Latn,0
0,-0.021949626414275704,-0.008072532657202553,urd_Latn,0
0,-0.025554606457531426,-0.00947329100629387,urd_Latn,0
0,-0.023691819060009958,-0.007951469821576284,urd_Latn,0
0,-0.019916559075870324,-0.008006073560475047,urd_Latn,0
0,-0.021899390967034093,-0.008204035687387366,urd_Latn,0
0,-0.022158939140769433,-0.0076210239534548994,urd_Latn,0
0,-0.021292795957073583,-0.008559163364061899,urd_Latn,1
0,-0.021267311462758506,-0.00829144749431733,urd_Latn,0
0,-0.021027535163276875,-0.006924704547005409,urd_Latn,1
0,-0.023159706432799826,-0.008440885265006495,urd_Latn,1
0,-0.02025206186002669,-0.008792591456253324,urd_Latn,0
0,-0.01857743638505732,-0.008337164829051476,urd_Latn,0
0,-0.025707053959056984,-0.009155893317264786,urd_Latn,1
0,-0.022354629663506934,-0.008996405832997371,urd_Latn,1
0,-0.02008250895632917,-0.008217285937215608,urd_Latn,1
0,-0.0226834822422938,-0.007425929807223723,urd_Latn,1
0,-0.024187199190903178,-0.008237212678991876,urd_Latn,1
0,-0.022663170816315487,-0.008335745744485803,urd_Latn,1
0,-0.021020596729333044,-0.008096104560038113,urd_Latn,0
